,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LOC114596934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2F2,8,0,1,11,6,1,6,6,4,8,8,4,4,5,7
KCTD4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TPT1,6526,2720,3791,4155,3733,4526,4262,3875,4912,3395,5414,3158,3403,3206,3538
LOC114598276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATOH8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFRL1,1,5,0,1,2,0,0,0,0,1,2,0,0,0,0
LOC114596691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPON2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596943,17,20,5,22,16,5,5,6,5,8,14,2,6,6,6
LOC114596944,6,14,4,8,0,3,1,6,3,3,2,1,2,3,2
LOC114596945,5,16,4,21,4,3,2,11,2,12,8,4,4,5,8
LOC114596947,30,41,24,53,14,6,9,16,17,15,30,8,25,12,15
LOC114596778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UVSSA,1,3,0,3,2,4,2,2,2,3,7,1,0,3,0
NKX1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM53A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLBP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM129,0,0,0,3,0,3,2,1,4,0,0,2,1,1,0
TACC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGFR3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
LETM1,3,4,5,3,0,4,2,0,1,1,0,2,1,0,2
NSD2,0,0,0,2,0,2,0,1,0,2,0,0,2,0,1
NELFA,2,9,0,7,1,5,1,1,5,7,1,3,2,0,1
C5H4orf48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAT8L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFAND4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASHC2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTXRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8,12,38,41,29,28,50,9,13,29,11,24,12,21,20,22
LOC114596968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSTM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H10orf71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRGX,11,0,2,0,1,1,1,0,0,1,0,0,1,0,0
ERCC6,1,20,3,1,6,4,4,4,3,5,3,2,4,5,5
CXCL12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUK,3,4,2,3,0,3,2,0,2,0,2,0,1,0,0
LOC114596783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG3,3,15,0,7,6,1,4,8,3,5,5,3,5,1,1
SORBS1,9,23,109,194,11,124,66,1,80,56,2,20,58,2,26
PDLIM1,6,0,2,3,2,0,4,0,1,1,1,0,2,1,0
HELLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOC114596993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOC1S2,0,4,3,1,0,2,3,0,0,1,0,0,1,0,0
LOC114596996,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
LOC114596997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKD2L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNT8B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114598259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIF1AN,1,0,4,5,1,3,2,2,2,1,2,3,1,0,3
LOC114597003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXL15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFKB2,0,1,3,0,0,0,0,2,2,0,1,1,0,0,0
LOC114597011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GBF1,11,32,27,29,19,32,11,7,32,12,17,9,17,5,29
PITX3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC114597015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOLC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM9SF3,86,334,217,122,121,82,67,110,72,82,141,47,102,108,72
EIF3F,30,7,12,14,11,19,15,6,21,21,18,11,22,9,14
ANXA7,1,3,2,3,0,0,2,1,0,1,0,0,0,0,2
LOC114597024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP3CB,36,209,329,53,82,206,33,86,129,26,117,90,31,102,101
USP54,17,38,25,77,23,8,52,11,6,48,7,6,52,9,11
MYOZ1,0,0,41,0,0,62,0,0,48,0,0,35,0,0,59
SYNPO2L,0,0,7,9,0,3,1,0,0,1,0,2,1,0,2
SEC24C,1,12,10,10,3,3,2,3,3,6,3,2,6,7,5
CHCHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZSWIM8,2,7,3,10,3,5,3,4,7,3,2,1,4,1,3
LOC114597035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDST2,2,38,1,6,12,2,1,15,4,1,10,1,4,12,1
CAMK2G,80,18,271,174,12,164,62,8,112,89,9,58,84,7,112
PLAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCL,74,56,158,356,13,107,102,12,39,119,12,92,137,16,109
AP3M1,16,580,45,45,270,37,34,222,15,35,198,8,36,173,22
ADK,25,925,26,21,284,10,11,260,7,18,216,8,13,193,7
LOC114597043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAT6B,24,17,17,62,21,17,22,16,18,27,11,11,34,15,33
DUPD1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
LOC114597048,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4
LOC114597049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD8,0,3,1,0,1,2,1,0,0,0,0,1,0,0,0
VDAC2,1469,170,455,1018,444,464,1029,229,525,1117,467,333,911,331,406
COMTD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF503,14,0,12,19,2,2,23,1,1,15,2,2,13,1,2
LRMDA,0,1,0,40,20,22,13,4,6,21,21,9,11,7,1
LOC114597057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNMA1,11,4,275,8,0,63,0,0,49,0,8,56,0,0,123
LOC114597064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597062,28,22,9,34,4,8,11,2,13,8,0,4,9,1,5
POLR3A,0,2,4,2,1,0,0,0,4,1,2,3,4,1,1
RPS24,2689,600,311,696,1000,359,1168,974,461,830,1532,333,775,840,341
LOC114597069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMIZ1,52,151,54,143,34,14,79,55,25,97,72,27,111,22,38
LOC114596789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPIF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZCCHC24,15,7,9,7,0,7,4,1,3,7,6,8,6,0,9
LOC114597076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA11,4,5,36,4,2,11,5,1,7,0,0,3,2,3,5
PLAC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597077,0,0,2,0,0,0,0,0,3,0,0,0,0,0,2
TMEM254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMS1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
LOC114597092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RET,3,0,7,10,0,2,6,0,0,5,0,4,3,0,1
LOC114597097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSGALNACT2,2,13,0,2,4,0,0,7,2,0,1,0,4,5,1
RASGEF1A,0,1,0,31,0,4,4,0,7,42,1,4,21,1,3
LOC114597099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAT1A,0,132,0,2,56,0,0,62,0,0,36,3,0,26,3
LOC114597105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOSC3,2,0,0,2,1,0,1,0,0,0,0,0,0,3,0
LOC114597109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRXL2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN14,0,2,0,2,1,0,0,1,0,2,0,0,0,1,0
LOC114597113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH2D4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHITM,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0
CDHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRIT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC18A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H10orf53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGDHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARG,17,33,26,21,33,20,6,16,26,15,21,12,8,23,19
LOC114597124,66,15,29,48,18,32,48,19,40,51,40,17,54,14,13
LOC114598271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114598272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114598270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCOA4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
LOC114596795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHLD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUD1,305,8193,1068,731,4058,916,422,4284,733,471,3634,501,564,3935,710
ADIRF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMRN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1A,5,12,9,10,5,3,4,3,0,3,1,1,6,2,2
LDB3,1802,7,19597,2964,22,9772,2021,6,6355,1906,7,9227,1540,3,10473
OPN4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WAPL,184,512,239,296,314,152,176,237,127,160,489,102,162,298,118
LOC114596796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC114596706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSER2,6,0,53,28,3,22,15,2,18,33,0,8,14,1,24
LOC114597142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BICC1,14,20,14,63,6,8,14,12,15,33,24,9,26,3,10
PHYHIPL,3,1,0,6,1,0,9,0,0,6,0,0,1,0,0
LOC114597147,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0
FAM13C,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
LOC114597150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC6,53,172,430,113,78,260,45,60,318,59,54,91,39,43,177
LOC114597158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANK3,2665,74,324,7492,95,324,5313,81,215,3952,140,265,4181,45,382
CDK1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RHOBTB1,0,115,1,1,4,1,1,24,1,0,9,0,1,13,2
TMEM26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABCOCO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID5B,8,115,13,30,43,10,14,19,14,18,24,12,8,18,12
RTKN2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
ZNF365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LOC114597167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,40,51,21,60,27,13,23,19,12,20,31,3,28,19,11
EGR2,0,0,10,0,0,1,0,0,3,0,0,3,0,0,4
NRBF2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0
JMJD1C,68,197,43,130,129,57,106,139,76,105,187,53,119,171,37
REEP3,0,1,0,3,0,0,0,2,1,0,0,0,2,1,0
LOC114597173,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC114597174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTNNA3,24,0,0,266,5,6,50,0,0,78,0,0,95,0,0
LRRTM3,1,0,0,5,0,0,3,0,0,1,0,0,0,0,0
LOC114597179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
SIRT1,46,86,44,70,87,24,69,83,21,56,164,28,39,173,36
LOC114597184,13,0,0,1,2,0,7,3,4,3,1,0,8,0,1
HERC4,9,20,30,22,26,17,17,20,29,16,24,8,8,9,12
MYPN,2,1,33,2,0,26,1,0,7,2,0,4,2,0,5
PBLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPH3,963,1215,597,1317,1420,514,1392,1433,600,1216,1997,394,998,1110,392
RUFY2,3,8,0,9,5,0,4,2,4,5,0,0,5,3,1
DNA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A16,0,2,0,2,1,0,0,2,0,1,5,0,0,1,0
TET1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
CCAR1,102,274,197,242,154,165,167,148,148,160,174,76,99,115,128
LOC114598230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX21,70,52,51,247,50,80,107,52,33,75,62,35,98,43,36
KIF1BP,9,8,13,12,10,15,12,10,21,12,11,7,6,6,11
SRGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPS26A,122,183,331,206,107,148,92,113,121,119,162,88,120,109,88
SUPV3L1,2,0,0,3,0,1,2,0,1,1,0,0,0,4,0
LOC114597200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HK1,63,0,135,109,1,89,43,0,90,49,0,60,47,0,70
TACR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSPAN15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC114597205,3,8,0,3,6,0,0,1,1,0,4,1,0,6,0
NEUROG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM241B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL13A1,0,1,0,3,10,14,1,3,9,1,6,7,3,11,4
LOC114597218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597213,160,95,40,219,54,32,145,49,37,177,86,51,139,46,65
AIFM2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSAP,1,0,0,0,0,2,0,1,0,0,0,2,1,0,0
LOC114597222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDH23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5H10orf105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC29A3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
UNC5B,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
LOC114597228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCBD1,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0
SGPL1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
TBATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS14,0,0,1,2,0,18,0,0,4,0,1,4,0,0,6
PALD1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
EIF4EBP2,15,65,97,104,16,118,23,7,67,24,10,58,16,6,58
LOC114597238,0,0,19,3,0,9,1,0,7,0,0,4,0,0,8
PPA1,4,6,2,0,2,1,0,2,0,3,4,0,0,1,2
LOC114597241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR1A,95,189,171,59,29,64,43,49,44,52,44,36,57,33,44
TYSND1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOCK2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
ASCC1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANAPC16,2,2,0,3,5,1,2,1,3,1,0,0,1,2,2
LOC114597251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDIT4,12,15,8,12,13,4,9,26,8,5,9,5,8,11,5
LOC114597253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJB12,3,8,9,15,2,10,7,1,8,1,3,2,1,4,6
MICU1,0,0,2,2,1,1,1,1,3,0,3,0,0,1,1
MCU,8,7,25,6,4,11,8,3,13,5,8,9,3,2,17
OIT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G12B,0,3,0,0,11,0,0,5,0,0,2,0,0,7,0
P4HA1,3,1,1,2,3,1,0,1,3,1,0,0,2,1,0
NUDT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM149B1,0,2,0,2,0,1,2,1,1,0,0,1,0,0,0
DNAJC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UBE2D1,213,56,1617,402,55,720,281,53,305,274,60,628,233,27,722
CISD1,11,3,0,3,2,2,4,5,0,3,5,0,2,3,0
IPMK,0,9,0,4,5,1,1,3,1,1,0,0,0,3,0
LOC114596798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC114597272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKG1,6,0,44,14,11,21,1,2,6,5,1,32,5,5,18
A1CF,0,587,0,0,150,0,0,146,0,0,95,0,0,129,0
SGMS1,72,71,86,49,81,71,29,42,61,34,104,25,42,119,74
MINPP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPSS2,0,9,0,0,1,0,0,1,0,1,0,0,0,1,0
PTEN,215,944,337,560,431,338,288,384,255,357,528,245,447,647,401
RNLS,55,3,8,56,18,13,50,8,17,41,10,10,47,9,17
LOC114597280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAMBPL1,5,0,0,1,1,0,6,4,1,5,5,0,2,1,0
ACTA2,247,19,19,178,23,26,75,36,44,65,61,31,109,20,19
FAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH25H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597298,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
LOC114596808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LOC114597305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANK1,8,861,7,30,718,13,15,477,15,25,415,18,24,691,12
KIF20B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
RPP30,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1
ANKRD1,1,0,5,0,0,2,0,0,0,0,0,1,0,0,1
PCGF5,18,59,37,19,18,26,26,15,33,21,10,8,20,8,8
LOC114597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114597316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
